hospital,specialty,date,year,wait_type,total_waiting,0-6 Months,6-12 Months,12-18 Months,18+ Months,pct_over_12m
Children's Health Ireland,Child/Adolescent Psychiatry,,2019,Outpatient,53.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Respiratory Medicine,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Dermatology,,2019,Outpatient,92.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Developmental Paediatrics,,2019,Outpatient,137.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Developmental Paediatrics,,2019,Outpatient,95.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Developmental Paediatrics,,2019,Outpatient,65.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Developmental Paediatrics,,2019,Outpatient,59.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Plastic Surgery,,2019,Outpatient,12.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Child/Adolescent Psychiatry,,2019,Outpatient,5.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Child/Adolescent Psychiatry,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Respiratory Medicine,,2019,Outpatient,162.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Respiratory Medicine,,2019,Outpatient,115.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Respiratory Medicine,,2019,Outpatient,89.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Respiratory Medicine,,2019,Outpatient,68.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Respiratory Medicine,,2019,Outpatient,3.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Rheumatology,,2019,Outpatient,383.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Rheumatology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,General Surgery,,2019,Outpatient,706.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,General Surgery,,2019,Outpatient,373.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,General Surgery,,2019,Outpatient,203.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,General Surgery,,2019,Outpatient,57.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,General Surgery,,2019,Outpatient,18.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,General Surgery,,2019,Outpatient,8.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Infectious Diseases,,2019,Outpatient,6.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Clinical (Medical) Genetics,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Clinical (Medical) Genetics,,2019,Outpatient,529.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Clinical (Medical) Genetics,,2019,Outpatient,27.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Clinical (Medical) Genetics,,2019,Outpatient,72.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Clinical (Medical) Genetics,,2019,Outpatient,41.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Clinical (Medical) Genetics,,2019,Outpatient,3.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Clinical (Medical) Genetics,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dental Surgery,,2019,Outpatient,182.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dental Surgery,,2019,Outpatient,58.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dental Surgery,,2019,Outpatient,49.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dental Surgery,,2019,Outpatient,25.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Dental Surgery,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Paediatric Surgery,,2019,Outpatient,15.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Metabolic Medicine,,2019,Outpatient,17.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Metabolic Medicine,,2019,Outpatient,6.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Metabolic Medicine,,2019,Outpatient,2.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Urology,,2019,Outpatient,33.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Urology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Clinical Immunology,,2019,Outpatient,605.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Clinical Immunology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Clinical Immunology,,2019,Outpatient,3.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Clinical Immunology,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Anaesthetics,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Anaesthetics,,2019,Outpatient,1.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Immunology,,2019,Outpatient,75.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Immunology,,2019,Outpatient,47.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Immunology,,2019,Outpatient,51.0,0.0,0.0,0.0,0.0,0.0
Children's Health Ireland,Immunology,,2019,Outpatient,70.0,0.0,0.0,0.0,0.0,0.0
